Protein IDs	Ratio	pValue
P09769	0.862531437	0.998467
P26641	0.862601451	0.968869
O94874	0.863091918	0.625864
Q969F9	0.863127832	0.98123
Q8TCU6	0.863414122	0.865404
P54709	0.863778454	0.640669
P09661	0.864685255	0.451115
P63208	0.86485128	0.671385
O14744	0.86527043	0.893679
P49327	0.866127675	0.815896
Q9BRG1	0.866534959	0.724125
P27695	0.866625398	0.677908
O43516	0.86714492	0.690703
Q9UBP0	0.867417368	0.837722
Q12851	0.867537591	0.973352
Q14203	0.867712922	0.792337
P05023	0.867778954	0.564614
Q9H3U1	0.868461091	0.834242
P20020	0.868748126	0.74318
Q93033	0.869162728	0.820223
P05090	0.869716517	0.622639
P62873	0.869944503	0.622934
P53675	0.871068179	0.91435
Q92930	0.871629065	0.842676
Q13867	0.872219475	0.772137
O75610	0.872361372	0.869995
P23526	0.872924152	0.996329
P17676	0.873311056	0.632718
P42768	0.874636489	0.885962
G9CGD6	0.874773585	0.839914
P03951	0.87481286	0.721359
P15498	0.87498081	0.952029
P98171	0.875171889	0.982387
P17987	0.875745167	0.678269
Q9UKV8	0.876211746	0.819575
Q8WY91	0.876229968	0.621934
P11678	0.876446493	0.915456
P07339	0.877167006	0.70599
P07225	0.877243384	0.429556
Q13464	0.878061902	0.668521
Q14974	0.878329401	0.757304
P78324	0.8790906	0.835343
Q9Y2U5	0.879464487	0.842393
Q96QH2	0.879523041	0.926702
P61019	0.880937743	0.51819
P43250	0.881009449	0.967358
Q9BZZ5	0.881015882	0.532271
P14151	0.881178168	0.595696
P41220	0.88122281	0.744597
P06737	0.881778339	0.824851
Q9NPF5	0.883165424	0.946565
P25686	0.883256637	0.809395
P41159	0.883634682	0.840823
P02655	0.884442654	0.736271
Q9Y4G2	0.885300712	0.637232
P10599	0.885570716	0.729756
Q92900	0.885942364	0.841964
O95373	0.886063946	0.70582
P60891	0.886471814	0.705627
O75368	0.886929243	0.869863
Q96NA2	0.886992104	0.923934
P07738	0.887035354	0.949706
Q9Y6Z7	0.887990975	0.660439
Q13103	0.88824015	0.923597
Q6P1N0	0.888409045	0.731429
P18085	0.889315298	0.931783
Q86W34	0.889560425	0.786827
P53634	0.890265427	0.642332
P00390	0.890605365	0.768843
Q9ULH1	0.891427353	0.594605
Q9BXR6	0.891765592	0.634276
P35754	0.893157364	0.644143
Q6ZT62	0.893520766	0.626714
P05388	0.89432377	0.808645
O95782	0.894539588	0.73232
O00478	0.895063964	0.856598
P04114	0.89522929	0.623183
P01116	0.896133902	0.848613
O00161	0.896333877	0.711251
Q6WKZ4	0.896478097	0.800775
Q6VY07	0.896719809	0.973048
Q15785	0.896845319	0.743854
O75396	0.89821471	0.9616
Q9UBU9	0.898534443	0.842514
Q8N5K1	0.899085191	0.744509
Q9BZV1	0.899164607	0.688431
Q9Y4D1	0.899509452	0.641304
P01911	0.900014452	0.923854
P02652	0.900502469	0.687827
O00421	0.901465371	0.982465
Q9Y2V2	0.902338294	0.540572
Q9Y295	0.902771222	0.826184
Q10588	0.903848554	0.982015
Q86U42	0.904588253	0.68744
Q9BWP8	0.904675304	0.65592
Q14166	0.905610671	0.914535
O95466	0.90588415	0.904836
Q9NP79	0.90625155	0.81928
P35542	0.907199542	0.705843
Q13619	0.907682656	0.883724
P11908	0.908319399	0.644516
P14598	0.908567005	0.786597
Q06830	0.908645522	0.666207
O75340	0.908787321	0.782592
Q9H939	0.910728248	0.989619
P02511	0.910852202	0.84843
P98172	0.911300698	0.956183
