Protein IDs	Ratio	pValue
P55884	0.880675791	0.655203
Q15631	0.881089584	0.464379
P61225	0.881499339	0.706663
Q9BZQ8	0.881571605	0.633119
P07738	0.882080481	0.964738
P18065	0.882726898	0.964858
P20062	0.883217248	0.914506
P02746	0.885257685	0.431467
Q92765	0.886090822	0.584201
P80108	0.887371211	0.492188
P22460	0.887464864	0.923861
O00421	0.88781731	0.982733
P49863	0.887904363	0.612749
P78539	0.888141211	0.408801
Q5VW32	0.88931344	0.826963
P13497	0.891506537	0.902348
P0C0L5	0.891824002	0.814876
O75695	0.891908615	0.5073
P02743	0.892155273	0.738851
P60709	0.892239446	0.346353
P33908	0.892452118	0.434277
P49589	0.892843485	0.582259
Q96PD5	0.893113809	0.562818
Q5JSL3	0.894340083	0.886489
P50570	0.894941096	0.666647
Q9UKV8	0.8950899	0.71859
P25774	0.895749319	0.611953
P04004	0.895905127	0.504423
P22748	0.895937978	0.746937
P30041	0.896485492	0.441484
P07998	0.897009546	0.804297
Q96FZ7	0.897556449	0.721487
P49327	0.897867635	0.904995
P51858	0.898784884	0.745612
Q6P988	0.900544674	0.970693
Q8NCH0	0.901201546	0.577246
O43451	0.901953529	0.868343
P59768	0.902115322	0.769094
Q07866	0.902932502	0.350605
P07766	0.903074742	0.987753
Q9H0U4	0.903382901	0.727089
P06727	0.903528566	0.46211
Q13362	0.903576477	0.873926
P14923	0.903587595	0.740923
P49746	0.904798184	0.683433
Q14738	0.904849606	0.78041
O60610	0.905518624	0.405226
P61626	0.90554495	0.791806
P20020	0.905946892	0.918744
P26927	0.90701026	0.709634
O00339	0.908136238	0.859257
Q6IA69	0.908401734	0.848775
Q9Y4H4	0.910346694	0.805125
Q14203	0.910948489	0.566316
P01911	0.91132515	0.598333
Q93034	0.911748896	0.590825
P50502	0.911983722	0.95485
P00390	0.912218487	0.783858
O00478	0.912665324	0.959156
O00151	0.912960234	0.6654
Q07954	0.91474472	0.94584
P16070	0.917522349	0.589673
Q9Y3D6	0.918893959	0.981085
Q9UM07	0.919015206	0.617605
P46459	0.919079657	0.598524
P10644	0.919111287	0.59585
O75326	0.919975933	0.996595
P08575	0.921113012	0.622135
O75787	0.921867693	0.52389
Q14315	0.922206717	0.997323
P25325	0.922792481	0.386076
P04899	0.923612759	0.784932
P51884	0.924586005	0.582521
P68871	0.925993563	0.869379
Q8IX19	0.929116269	0.96599
P01871	0.930109249	0.517577
P06396	0.930524185	0.802447
P35625	0.93066859	0.899082
O14960	0.931346611	0.699163
O43866	0.931745387	0.56134
P09874	0.933088833	0.881008
Q92542	0.934154578	0.699662
Q8WUW1	0.934397221	0.718957
P62879	0.934651763	0.741098
P11908	0.935017827	0.744608
P49913	0.936579853	0.666776
Q9BXN1	0.937468761	0.883617
P53990	0.938984198	0.576945
B9A064	0.939594254	0.419194
O00303	0.9396329	0.948181
Q15746	0.940119296	0.457568
O75368	0.940313888	0.848342
P01591	0.940334464	0.589808
Q14558	0.940470294	0.883686
P22692	0.941015842	0.95916
P02745	0.942325648	0.847306
P62993	0.942723539	0.902123
Q8NBI5	0.943012235	0.82806
P32942	0.9431423	0.956056
P05455	0.94328703	0.918613
Q92905	0.944214003	0.909736
P05067	0.944485381	0.763262
P05107	0.944566773	0.901952
P61026	0.944602405	0.805447
Q9Y3Q8	0.944602572	0.972523
P54136	0.945251781	0.906203
O00233	0.945790324	0.749702
P09769	0.94709805	0.815346
P55036	0.947108115	0.746809
Q86VP6	0.94717807	0.826726
P20702	0.948293125	0.9434
P13716	0.948390255	0.794938
P25090	0.9503577	0.431146
P48061	0.950652347	0.946672
Q9H4G4	0.952034401	0.80098
P62873	0.952136528	0.687204
O95393	0.952144945	0.746998
Q9NT62	0.952391056	0.919202
P11217	0.953774218	0.827818
P49247	0.953909667	0.99674
P05023	0.954236533	0.709513
Q12905	0.954789901	0.734808
Q7L576	0.954827519	0.598444
P61019	0.955039076	0.709627
Q04656	0.955579476	0.982225
P11215	0.956940104	0.961742
P23142	0.957160867	0.768241
Q9UKZ9	0.959028332	0.873427
Q01433	0.959755595	0.95768
P07910	0.959957634	0.81197
O95498	0.961007888	0.850841
Q9Y624	0.962724566	0.969623
Q96PL5	0.963202514	0.956682
Q92835	0.963416146	0.942936
Q9UL18	0.963746379	0.85839
P07384	0.964722972	0.907009
A5A3E0	0.966037606	0.350332
Q6UXI7	0.967015807	0.918471
Q9BY76	0.967733008	0.702016
P63092	0.967910211	0.914476
Q08431	0.968164753	0.956371
P34932	0.968356071	0.861025
Q01629	0.968633769	0.773691
P27695	0.971547002	0.225072
P00736	0.97156481	0.918773
P24071	0.971601032	0.908355
Q96BJ3	0.971770149	0.965855
Q15722	0.973093541	0.670945
Q9H2G2	0.973975755	0.970875
P22303	0.975962199	0.942832
O75915	0.976748348	0.89203
P05154	0.977748616	0.890377
Q06033	0.97820016	0.824629
Q13217	0.978438233	0.872794
P15531	0.979384083	0.727307
O14964	0.981551411	0.671446
P23284	0.981977132	0.810378
P19338	0.982258545	0.557083
P26572	0.983332136	0.847494
Q8TEA8	0.983719879	0.861554
P07225	0.985837356	0.943034
P50895	0.986341708	0.859665
P04196	0.98679122	0.970608
P20701	0.986791786	0.7909
O95810	0.987244332	0.736186
Q9Y277	0.987554728	0.684145
Q12931	0.988362288	0.621759
P36959	0.989072931	0.99648
Q6P1N0	0.98926826	0.841877
P39748	0.989733691	0.0290696
Q969X1	0.989977457	0.874244
P29992	0.990978563	0.848608
Q9UEW3	0.991556934	0.919351
Q9NX76	0.992262592	0.606086
Q9HAV0	0.992740938	0.956997
Q52LJ0	0.992901678	0.6079
P12111	0.9929394	0.99896
P35754	0.992978578	0.957949
Q8NF50	0.993387323	0.886441
P00918	0.994629099	0.655646
P13797	0.995869136	0.984505
P30566	0.996367566	0.92891
P13796	0.997647378	0.966119
P17858	0.997817606	0.939923
Q01432	0.998009028	0.954764
P62304	0.998022361	0.434269
P15907	0.99809983	0.99646
P08133	0.999025352	0.965143
Q06323	0.999871486	0.889816
O75339	1.000088324	0.849561
Q9HDC9	1.000219761	0.970166
P30153	1.000922922	0.982991
Q9UKD2	1.00105181	0.0589508
Q14213	1.001344835	0.919586
Q14254	1.001431602	0.734863
P03950	1.001786145	0.952139
P23526	1.001889624	0.610532
P07814	1.001926105	0.996486
P07948	1.002096056	0.970038
Q01518	1.00232557	0.982635
P47756	1.002468131	0.742443
P12259	1.002768784	0.958431
Q10588	1.003038412	0.9475
O00182	1.003198804	0.749167
Q13561	1.003232675	0.9259
P09382	1.003864131	0.946053
O75955	1.00505531	0.691688
P23193	1.005396599	0.74668
P05106	1.005590343	0.592086
A0A0B4J1V6	1.006735306	0.264082
Q03591	1.006987097	0.902703
P34910	1.007898184	0.884501
P62318	1.00918758	0.799076
Q12906	1.009416209	0.880823
Q8NBP7	1.010152984	0.982841
Q8IWU5	1.010496673	0.73847
Q13576	1.01054034	0.95387
P07900	1.011074654	0.890232
P08311	1.011346644	0.987217
P26583	1.011675898	0.285531
P67936	1.011711	0.398143
P10599	1.012010965	0.871568
Q99969	1.012178615	0.797045
Q12913	1.012454677	0.737541
P26640	1.013174619	0.418247
Q13885	1.013248691	0.952253
P02788	1.013696725	0.942474
P68402	1.013786248	0.938164
A0A1B0GTC6	1.013991128	0.44592
P50395	1.014355153	1
P43034	1.014916578	0.966222
P17927	1.015445153	0.983298
P02655	1.01667838	0.999828
O00560	1.018198705	0.459387
P22314	1.018277709	0.998564
Q6XQN6	1.018981319	0.893227
P78324	1.019260034	0.918828
P12931	1.019934858	0.890206
Q6UX71	1.020006604	0.981033
Q15223	1.020018127	0.613886
P54709	1.02034401	0.940955
Q12904	1.020888935	0.811781
Q53RD9	1.022073826	0.978608
O75888	1.022274411	0.815782
Q9NP80	1.022670745	0.111153
Q687X5	1.023322826	0.996842
P32320	1.023381089	0.506888
Q9Y6W3	1.023925612	0.242922
Q8NDZ4	1.024064042	0.942083
P12110	1.024288898	0.962154
Q7Z7G0	1.024372295	0.923383
Q9NRW1	1.024393695	0.822033
P48729	1.024666251	0.746299
P29279	1.02496542	0.63796
P52907	1.02594117	0.74616
Q9BZZ5	1.027165477	0.120542
P14678	1.02717898	0.426818
P08514	1.027990271	0.673903
P01889	1.029474902	0.919217
P14625	1.030226625	0.664611
Q16394	1.031343755	0.907885
P61923	1.031787912	0.524182
O15230	1.032159126	0.707207
P13501	1.032818757	0.761191
Q8TB73	1.034328597	1
Q6WN34	1.034495905	0.903347
Q14344	1.034578844	0.974958
P69905	1.035929377	0.890224
O00161	1.036899979	0.815254
Q6UWD8	1.037020412	0.905672
P00492	1.037396076	0.70467
Q14697	1.038307062	0.967806
Q92954	1.038691811	0.708667
P50452	1.038839952	0.866062
P09871	1.042619719	0.741473
P09104	1.043536416	0.812132
Q92608	1.04386301	0.550264
Q15198	1.044180207	0.768379
P02776	1.044250637	0.859178
Q96L46	1.04434798	0.569001
P55786	1.045372826	0.722972
Q6UXI9	1.045974232	0.570884
P09543	1.046652496	0.688374
Q6UY14	1.047542593	0.996473
P11216	1.047588252	0.718249
Q99941	1.049923834	0.945565
P05062	1.050032577	0.675723
P18433	1.050394573	0.847823
P07237	1.051292107	0.836458
P31939	1.051437831	0.902016
P07203	1.051568609	0.589864
P35659	1.051998125	0.568431
P40818	1.052097591	0.235484
A6NH11	1.05223786	0.911555
O95466	1.052379952	0.572656
P20073	1.052747737	0.666372
P04075	1.052785784	0.841563
P48740	1.05305057	0.550297
O00187	1.053517148	0.742338
P22087	1.055533945	0.198123
Q9H0B8	1.059565448	0.844627
Q9UJW0	1.060130027	0.946073
Q8IZP0	1.060468455	0.928633
P50148	1.06184101	0.70072
P40925	1.063562512	0.763514
A0A0C4DH67	1.064018037	0.0458295
P48059	1.064903713	0.999982
Q8TER0	1.066102068	0.883009
