Protein IDs	Ratio	pValue
P25788	1.077572556	0.714239
P25789	1.124393407	0.536475
P25815	0.996669138	0.872638
P26038	1.208453449	0.252853
P26196	1.439171658	0.085
P26368	1.295365346	0.323945
P26373	1.072812806	0.771425
P26447	0.908502917	0.874593
P26572	0.921934588	0.498861
P26583	1.285910283	0.499216
P26599	1.332106689	0.366178
P26639	1.153787634	0.845577
P26640	1.066480874	0.602269
P26641	0.916791563	0.545458
P26927	0.910954088	0.776281
P27105	0.963654235	0.982927
P27169	0.88583023	0.296227
P27361	1.358147275	0.276423
P27448	1.288930749	0.138165
P27449	1.095435292	0.654826
P27695	1.121069154	0.624095
P27701	1.561596353	0.0919108
P27797	0.931741933	0.680232
P27824	0.658454335	0.193515
P27986	1.336631141	0.252513
P28066	1.076809663	0.619599
P28070	1.218582395	0.562946
P28074	1.104053507	0.629864
P28289	1.01208116	0.885737
P28482	0.984845777	0.744951
P28676	1.666323661	0.222543
P28838	0.994788423	0.951614
P29122	0.954699121	0.797087
P29144	1.044511435	0.779401
P29279	0.881430068	0.704459
P29350	1.416585273	0.0328627
P29353	1.99284335	0.0441727
P29401	1.291380842	0.372848
P29622	0.909112717	0.498897
P29692	1.140995268	0.845686
P29972	0.953198873	0.987955
P29992	0.977259492	0.801264
P30040	1.110920351	0.864207
P30041	0.952648712	0.648363
P30043	0.905829141	0.484959
P30044	1.490064569	0.122187
P30050	1.350106742	0.229769
P30086	0.862062072	0.558741
P30101	0.9418648	0.764736
P30153	0.873784749	0.514724
P30419	1.453820822	0.0854753
P30566	0.878433874	0.425671
P30613	1.019518618	0.993321
P30626	1.330344624	0.922316
P30740	1.103619264	0.667322
P30825	1.387212707	0.500755
P31146	1.562537723	0.0307083
P31939	1.246915431	0.748298
P31942	1.25258282	0.400747
P31943	1.530160704	0.0230164
P31944	1.135842762	0.879445
P31946	1.07371472	0.805194
P31948	1.080625021	0.952568
P31997	1.161920367	0.982377
P32119	1.115118223	0.652067
P32121	1.354928208	0.220557
P32320	1.434680003	0.281106
P32942	1.336290583	0.58861
P32969	1.495979281	0.118504
P33121	1.521132199	0.137238
P33151	0.756265157	0.0976167
P33176	0.781848461	0.271571
P33908	0.673515738	0.0949143
P34910	1.297847555	0.692215
P34932	1.007729178	0.834843
P35240	1.572237018	0.0402034
P35241	1.148117348	0.544222
P35268	1.270654514	0.173368
P35443	0.649782035	0.258728
P35527	0.830347048	0.52117
P35542	0.857711404	0.269491
P35579	0.563086137	0.009
P35580	0.532333597	0.00844444
P35611	0.93466584	0.868404
P35612	0.97366576	0.993672
P35613	1.085892635	0.680404
P35625	0.750585231	0.405266
P35637	1.45836715	0.0451733
P35659	1.034788727	0.848923
P35749	0.591359161	0.008
P35754	1.11176218	0.6469
P35858	1.064318263	0.952126
P35908	0.887030757	0.324479
P35998	1.139897143	0.530362
P36222	0.329987694	0.0980417
P36507	1.189289171	0.452828
P36578	0.83501217	0.563558
P36871	1.016970027	0.994629
P36873	1.287769054	0.188817
P36915	1.011996471	0.916076
P36955	0.837029436	0.424589
P36959	0.840728869	0.413347
P36969	1.277397137	0.403983
P37108	1.40381489	0.173443
P37235	0.914665629	0.710968
P37802	0.971690795	0.737474
P37837	1.048678357	0.982767
P37840	0.808687668	0.432043
P38117	1.307351418	0.436057
P38159	1.30643863	0.19499
P38606	1.200817919	0.300113
P38646	0.215466942	0.0983288
P38919	1.479241193	0.259225
P39019	1.434159922	0.104531
P39023	1.081017847	0.692484
P39060	0.369874234	0.195469
P39748	1.52870521	0.271765
P40121	1.555026474	0.320291
P40197	0.836638114	0.49866
P40227	0.774485293	0.214787
P40429	1.186871534	0.350537
P40818	1.415550499	0.166687
P40925	0.959543843	0.815575
P40926	0.700960026	0.392948
P41091	1.144488379	0.392524
P41159	0.782646824	0.535197
P41214	1.895155277	0.0535148
P41218	1.12787648	0.94603
P41220	1.431038854	0.0440292
P41227	1.504080213	0.063269
P41240	1.32270481	0.324408
P42025	1.074251364	0.944423
P42330	1.65026758	0.807671
P42331	1.456333474	0.658807
P42338	2.119236843	0.0497107
P42766	1.180401517	0.412603
P42768	1.301038747	0.0892632
P43034	0.869361619	0.800361
P43250	1.541119554	0.0116667
P43251	0.949188902	0.996315
P43403	1.269119359	0.275884
P43405	1.436764525	0.147455
P43487	1.166703642	0.52682
P43490	1.402410673	0.151303
P43652	1.256581384	0.612688
P43686	1.226386299	0.213883
P45974	1.083992259	0.693171
P45985	1.38954974	0.531185
P46109	0.831414407	0.654069
P46459	1.121996943	0.590273
P46777	1.657179174	0.00571429
P46781	1.468607335	0.0589091
P46782	1.193686544	0.448294
P46783	1.122819364	0.56678
P46926	1.167544751	0.345599
P46940	1.451294609	0.0818387
P46976	1.394618228	0.286538
P47755	0.812518856	0.398788
P47756	1.028964838	0.968598
P47813	1.156874993	0.453641
P47914	1.460555489	0.116083
P48059	0.901722288	0.458606
P48061	0.902806073	0.669944
P48426	0.842580016	0.447766
P48444	1.275137877	0.872339
P48506	1.045852227	0.756815
P48634	1.845305754	0.0444776
P48643	0.869671054	0.629446
P48729	0.965162015	0.870181
P48735	1.34613226	0.430087
P48740	1.080946966	0.423438
P48745	0.762148683	0.280822
P49137	1.462455553	0.0166857
P49184	0.874501893	0.872932
P49247	1.011190605	0.824217
P49327	1.036645821	0.626436
P49368	0.691636525	0.0685767
P49407	0.979772623	0.876524
P49458	1.363689241	0.224665
P49589	0.928578643	0.829991
P49591	1.345438432	0.368143
P49720	1.14044121	0.522352
P49721	1.104822433	0.681548
P49746	0.68528531	0.995668
P49755	0.72775727	0.324249
P49757	1.441904728	0.0659
P49840	1.068757396	0.74105
P49841	1.398412307	0.123014
P49862	0.879590906	0.828519
P49863	0.664402134	0.0584712
P49908	0.793498944	0.275432
P49913	1.298793343	0.639869
P50148	1.027023945	0.689427
P50225	1.463298	0.586556
P50281	0.778785001	0.920892
P50395	0.908563657	0.641966
P50452	0.952295614	0.829725
P50502	0.906130631	0.593434
P50552	1.173588505	0.330853
P50570	0.981977256	0.968669
P50749	1.626440364	0.0170323
P50895	1.364724296	0.662394
P50914	0.958023577	0.723404
P50990	0.954150714	0.868676
P50991	0.698372815	0.0414309
P50995	1.277327656	0.532392
P51148	1.062695692	0.718781
P51149	1.026925232	0.867973
P51153	1.223102819	0.537061
P51570	1.742064766	0.0832314
P51659	0.690736173	0.207149
P51812	1.5884817	0.0312727
P51813	1.304309911	0.13749
P51858	0.926659387	0.850235
P51884	1.311616338	0.683504
P51888	0.682472094	0.351905
P51991	1.389993482	0.0633436
P52209	1.530150765	0.427977
P52272	1.540912617	0.0301905
P52565	0.911382349	0.64657
P52566	0.895641971	0.601579
P52790	1.318163022	0.577551
P52848	0.856228838	0.677011
P52907	1.060747536	0.951526
P53004	0.976468831	0.588059
P53396	1.076668019	0.555944
P53582	1.232165947	0.290172
P53621	0.91641574	0.527218
P53634	0.95664341	0.969111
P53675	0.756668856	0.411252
P53680	0.816606091	0.577985
P53990	1.26060654	0.21927
P53999	1.076109582	0.844591
P54136	0.839555288	0.440778
P54577	1.261176354	0.39189
P54578	0.920322652	0.668426
P54709	1.181256612	0.64427
P54920	1.337971471	0.125825
P55010	1.229189579	0.128982
P55036	0.987505893	0.953716
P55039	1.460276202	0.0366729
P55056	0.908181724	0.473628
P55058	0.661534165	0.162598
P55060	0.368631462	0.452106
P55072	1.225655787	0.508744
P55084	0.572030393	0.226332
P55103	0.790970941	0.137126
P55145	0.718776439	0.233451
P55160	0.940007856	0.788818
P55209	1.095102743	0.555552
P55769	1.760317508	0.143314
P55774	0.432379095	0.156547
P55786	1.003849106	0.901648
P55795	1.598703351	0.0163333
P55884	0.718650777	0.0311556
P55957	1.167926575	0.723186
P57737	1.475159219	0.305045
P57764	1.349346403	0.214391
P57772	1.472929377	0.115661
P58166	0.737408522	0.284972
P58335	0.647020638	0.220823
P59768	1.096656912	0.885085
P59998	0.88724126	0.637907
P60174	0.966012917	0.792852
P60228	0.681552779	0.167138
P60484	2.453146209	0.0507805
P60520	1.0700923	0.428226
P60660	0.585529583	0.0671089
P60709	0.831403165	0.586
P60842	0.667566794	0.121657
P60866	1.354807968	0.0744454
P60891	0.938596915	0.705361
P60900	1.175805988	0.447237
P60953	1.08923764	0.951106
P60985	1.003869384	0.52843
P61006	1.267682626	0.285015
P61011	1.620188407	0.033102
P61018	0.914007796	0.814201
P61019	1.084116424	0.661916
P61026	1.000630432	0.788005
