##Data analysis and visualization were performed with SeekSoul‑Tools (version 1.0.0) 
##https://seeksoul.online/cloudplatform)‑doc/zh/document/Software/3_SeekSoul_Tools/
##Raw sequencing reads have been deposited in the NCBI SRA under BioProject accession PRJNA1520949 (http://www.ncbi.nlm.nih.gov/bioproject/1520949)


p_val	avg_log2FC	pct.1	pct.2	cluster	gene
0	1.730255403	0.601	0.202	13	Rarb
0	1.717476712	0.925	0.625	13	Nrp1
0	1.708083003	0.982	0.761	13	Plvap
0	1.659181323	0.695	0.269	13	Arap2
0	1.657043207	0.85	0.492	13	Ldb2
0	1.60439168	0.781	0.364	13	Snrk
0	1.595644685	0.894	0.485	13	Car8
0	1.580232562	0.786	0.429	13	Etl4
0	1.561851095	0.841	0.476	13	Tspan9
0	1.553063209	0.62	0.178	13	Ripply3
0	1.544338972	0.627	0.198	13	Six3os1
0	1.503612921	0.964	0.751	13	Ptprg
0	1.496462969	0.983	0.839	13	Emcn
0	1.479586683	0.673	0.254	13	Clec14a
6.35E-289	1.578535836	0.754	0.404	13	Emp2
1.35E-281	1.568859632	0.745	0.401	13	Lrmda
1.88E-264	1.668983967	0.617	0.268	13	Nebl
5.92E-193	1.629624369	0.671	0.394	13	Pbx1
0	3.080669809	0.824	0.105	14	Adamtsl1
0	2.701557443	0.846	0.111	14	Fxyd6
0	2.267829989	0.797	0.245	14	Nupr1
0	2.075636026	0.577	0.129	14	Ifi27l2a
0	2.019953854	0.566	0.032	14	Npnt
0	2.016074097	0.94	0.662	14	Gng11
0	1.989684058	0.87	0.472	14	Rapgef5
0	1.920256583	0.682	0.096	14	Abi3bp
0	1.907411161	0.58	0.04	14	D5Ertd615e
0	1.898512974	0.57	0.049	14	Sema3a
0	1.856538481	0.882	0.379	14	Cp
0	1.769577863	0.667	0.114	14	Mxra8
0	1.767299711	0.859	0.318	14	Timp2
0	1.76162406	0.804	0.35	14	Hmcn1
0	1.75918513	0.661	0.104	14	Nsg1
0	1.697492946	0.67	0.087	14	Fbln5
0	1.654367525	0.677	0.133	14	Trp53i11
0	1.600724891	0.615	0.098	14	Sema3d
0	1.581425752	0.862	0.501	14	Cavin3
0	1.516212906	0.774	0.333	14	Smad1
0	1.476218213	0.587	0.116	14	Maf
0	1.474244641	0.695	0.181	14	Lbp
0	1.472611369	0.939	0.573	14	S100a6
0	1.460823275	0.741	0.22	14	Cdh13
0	1.444282994	0.726	0.246	14	Galnt1
0	1.440061992	0.832	0.417	14	Cgnl1
2.01E-280	2.047724621	0.807	0.433	14	Igfbp5
4.23E-276	1.497702138	0.788	0.38	14	Stox2
1.28E-179	1.785224057	0.512	0.206	14	Ccl21a
9.27E-11	1.431621955	0.407	0.335	14	Ccl2
0	3.789743019	0.665	0.07	15	Cytl1
0	2.983130608	0.912	0.314	15	Clu
0	2.461238188	0.654	0.186	15	Eln
0	2.350386906	0.992	0.868	15	Mgp
0	2.230522289	0.79	0.175	15	Stmn2
0	2.058311152	0.406	0.012	15	Gkn3
0	1.588691454	0.572	0.105	15	Sema3g
0	1.586212939	0.473	0.041	15	Bmx
0	1.567271041	0.505	0.094	15	Fbln5
0	1.554194561	0.431	0.076	15	Igf2
0	1.469587061	0.315	0.023	15	S100a4
0	1.302436206	0.439	0.083	15	Ptprr
0	1.225538491	0.405	0.072	15	Prdm16
7.17E-302	1.505850722	0.658	0.219	15	Fbln2
4.67E-293	1.630342034	0.947	0.708	15	Ly6a
3.24E-265	1.390694513	0.944	0.632	15	Ly6c1
3.65E-249	1.439190723	0.767	0.355	15	Ltbp4
1.04E-218	1.358235108	0.292	0.056	15	Pi16
4.56E-217	1.587720594	0.6	0.225	15	Gja4
1.01E-214	1.248566365	0.545	0.188	15	Ctsh
1.68E-210	1.39684866	0.822	0.536	15	Tspo
1.53E-191	1.464516605	0.372	0.097	15	Ptprj
6.27E-185	1.655415569	0.63	0.27	15	Nebl
2.93E-173	1.355839689	0.689	0.365	15	Emp3
1.54E-162	1.298818973	0.694	0.387	15	Nos3
