p_value	morans_test_statistic	morans_I	gene_short_name	q_value
0.5608610243780732	-0.153152581	-0.001777037	Gm14597	0.7918283676864812
0.55961182444684765	-0.149985125	-0.001777433	Rnase10	0.7918283676864812
0.5658798039892169	-0.165893971	-0.001778875	Tagln3	0.7918283676864812
0.5516822677110994	-0.12991274	-0.001779506	9130409I23Rik	0.7918283676864812
0.5538592876949062	-0.13541796	-0.001780137	Gm33103	0.7918283676864812
0.551673827657166	-0.129891405	-0.00178131	Gm11525	0.7918283676864812
0.5517151140578646	-0.129995772	-0.001781386	Wdr5b	0.7918283676864812
0.5616246987329485	-0.1550897	-0.001782179	Gm20685	0.7918283676864812
0.5488773058611871	-0.122825365	-0.001782942	Slc16a7	0.7918283676864812
0.5709039042560409	-0.178675903	-0.001783153	Pax6os1	0.7918283676864812
0.5533509563297123	-0.134132137	-0.001784769	1700028J19Rik	0.7918283676864812
0.5523795792915941	-0.131675656	-0.001785403	Plxna4os3	0.7918283676864812
0.5383412746998241	-0.096255755	-0.001786888	Snx22	0.7918283676864812
0.5533426078151963	-0.134111022	-0.001787297	Gal3st2	0.7918283676864812
0.5372251845701713	-0.093445518	-0.0017874	AW549877	0.7918283676864812
0.5520492176074935	-0.130840398	-0.001788315	Emilin3	0.7918283676864812
0.5531710243017457	-0.133677053	-0.001788884	Gm40271	0.7918283676864812
0.5552782765166009	-0.139008481	-0.00179011	Gm41414	0.7918283676864812
0.5376090257141706	-0.094411918	-0.00179121	Asb6	0.7918283676864812
0.5536000883542672	-0.134762288	-0.001791714	Gm13449	0.7918283676864812
0.5387477509430324	-0.097279421	-0.001791749	Ppp1r3c	0.7918283676864812
0.5376439725793354	-0.094499909	-0.001792084	AU022252	0.7918283676864812
0.5588040601938961	-0.14793777	-0.001793209	1700108F19Rik	0.7918283676864812
0.537439910754723	-0.093986125	-0.001793807	Pwwp2b	0.7918283676864812
0.5385588881269435	-0.096803778	-0.001793925	Nudt16	0.7918283676864812
0.5528324099481612	-0.132820704	-0.001794882	Alkal1	0.7918283676864812
0.5553377995332703	-0.139159134	-0.001795982	Gm33936	0.7918283676864812
0.562300247375338	-0.156803765	-0.001796075	Olfr15	0.7918283676864812
0.5616701951105321	-0.155205123	-0.001796151	Gm50250	0.7918283676864812
0.993895754677477	-2.506059984	-0.001796875	Rslcan18	0.994107300626432
0.993895754677477	-2.506059984	-0.001796875	Gm27177	0.994107300626432
0.993895754677477	-2.506059984	-0.001796875	4930402D18Rik	0.994107300626432
0.5385158898861118	-0.096695492	-0.00179694	1600002D24Rik	0.7918283676864812
0.5464378766893245	-0.116666615	-0.00179831	Gm48283	0.7918283676864812
0.577449046364842	-0.19537178	-0.001798655	Fgf10	0.7918283676864812
0.5566500376012237	-0.142481204	-0.001798912	Mutyh	0.7918283676864812
0.5527846391832052	-0.1326999	-0.00180027	Gm26619	0.7918283676864812
0.563638221323089	-0.160199965	-0.001800527	Gm26936	0.7918283676864812
0.5462325514666707	-0.116148442	-0.001800767	Palb2	0.7918283676864812
0.5379970452086874	-0.095388929	-0.001800911	P3h4	0.7918283676864812
0.5528154225697117	-0.132777746	-0.00180098	Ovca2	0.7918283676864812
0.5535485563237929	-0.13463194	-0.001801066	Myom2	0.7918283676864812
0.5574665587503345	-0.144549106	-0.001802266	Gm11723	0.7918283676864812
0.5401268824149082	-0.100753381	-0.001802445	Gm47689	0.7918283676864812
0.5529471907922912	-0.133110971	-0.001803054	Gm28386	0.7918283676864812
0.53845618418089	-0.096545131	-0.001803578	Snapc4	0.7918283676864812
0.5531380491651433	-0.133593655	-0.001804348	Gm32916	0.7918283676864812
0.5623883323210387	-0.157027297	-0.001805513	Mapk4	0.7918283676864812
0.5582994727294088	-0.146659161	-0.001806202	Olfr921	0.7918283676864812
0.563793960956062	-0.1605954	-0.001807228	4930431P22Rik	0.7918283676864812
0.5417154395637487	-0.104756383	-0.001807538	Anln	0.7918283676864812
0.5560703922531022	-0.141013578	-0.001808384	Slc6a1	0.7918283676864812
0.5489627495934425	-0.123041165	-0.001808428	A930018P22Rik	0.7918283676864812
0.5549473350930773	-0.138170929	-0.001808441	Wdfy4	0.7918283676864812
